"","technology","icc","icc.lbound","icc.ubound","kripp","fleiss","fleiss.z","fleiss.p","p.anova","num","no.coders"
"23","Adaptive sampling",0.632347388294525,0.0592930131440796,0.914079376565524,0.131564757953292,0.00811377518461118,0.231370890890245,0.817026677376452,"< 0.05",8,8
"24","Internet of things",0.661313868613139,0.143509020877703,0.911795435387344,0.147602712684348,0.0350914962325081,0.597898852745781,0.549907425434616,"< 0.05",6,6
"25","Open data and open source",0.774245472837022,0.422365422534532,0.947241039232608,0.161034384220487,0.0554644545191473,1.40272394251181,0.160699174820659,"< 0.05",8,8
"26","eNose technology",NA,NA,NA,0.357398034229218,NA,NA,NA,"< 0.05",12,12
"27","Data exchange tools",0.571428571428571,-2.45971523434381,0.999548023839798,0.194621773809239,-0.0756302521008403,-0.740108054526713,0.459234431780014,"< 0.05",8,8
"28","Visual storytelling",0.835240274599542,0.528127087987056,0.973242957326984,0.303101995100262,0.0628166160081054,1.751763098536,0.079814551913842,"< 0.05",10,10
"29","Google Street view",0.620732464307883,-0.383261417264211,0.973101515396245,0.161578049711369,-0.0236724248240563,-0.523361083441661,0.600723000655335,"< 0.05",10,10
"30","AI analysis on sensors",0.919941471571906,0.742335140591557,0.990524260984829,0.274149353845201,0.119073275862069,2.5446453159733,0.0109388785954945,"< 0.05",9,9
"31","Computational infrastructure to handle big volumes of data",0.956929637526652,0.84540500163943,0.99694113909465,0.432918094920687,0.234782608695652,6.09715271787705,1.07974362784091e-09,"< 0.05",11,11
"32","Artificial intelligence",0.825656478691347,0.596155789883793,0.953343081520465,0.17974656797153,0.0913461538461539,4.29083787856162,1.78000232631259e-05,"< 0.05",14,14
"33","Data aggregation software and visualisation and analysis tools",-0.1000481000481,-1.67103280003413,0.709935143609545,-0.00953577584297394,-0.0245647507751014,-0.655981839390624,0.511835809167828,NA,8,8
"34","Acoustic hardware",0.847207991803279,0.589718425100831,0.969354482058361,0.326266401860384,0.0894358794674141,2.43005078009386,0.0150967075226174,"< 0.05",9,9
"35","3D technology to improve CS experience",0.591973244147157,-0.241850617437029,0.951286753777362,0.119298814685699,0.000204039991838431,0.00814598836673702,0.993500513530988,"< 0.05",14,14
"36","Data analysis to reveal early signals of invasion",0.861596437136006,0.523104378301522,0.990135303059992,0.194713196280793,0.0287887017925041,1.01958590136623,0.307924894256496,"< 0.05",15,15
"37","Mobile-based data collection platforms",0.552558139534884,-0.0536992398856049,0.880883713386122,0.0312318635777943,-0.0217200674536256,-0.642403986460524,0.5206109120033,"< 0.05",11,11
"38","Advanced natural language generation",0.448318804483188,-1.4178909323584,0.986016555316071,0.158031594540068,-0.024390243902439,-0.629915539714928,0.528749845190484,"< 0.05",12,12
"39","Social media mining has",0.704948646125117,0.263577168912728,0.930562387562002,0.108763198496844,0.0223792697290931,0.719802191242464,0.471646795581701,"< 0.05",10,10
